mz,Intensity
602.39154,1617.99
615.26093,3181.1
616.26746,2204.2
626.66479,1607.01
635.33618,4110.62
635.43677,10221.9
635.93805,8252.71
636.43951,2357.31
644.38977,1492.93
645.41492,3071.36
646.32922,1485.03
648.41193,1274.48
664.36499,2149.97
671.35956,1522.36
675.65558,1952.13
685.31702,1874.41
688.3725,4778.64
690.95251,2094.99
691.45081,1596.34
691.95673,1925.16
692.35712,13405.5
694.3269,13797.3
695.32593,2647.93
699.49365,2063.22
699.95685,6739.87
700.45953,4840.73
700.95844,1627.11
703.33813,3753.72
703.46783,2581.97
704.33893,1619.93
704.46368,1455.93
705.39771,1663.1
714.47662,1682.07
716.36676,15289.8
717.34399,6677.15
717.85175,4961.14
719.8139,1664.53
726.43622,1386.14
727.41913,2289.46
728.42261,1670.59
728.81531,2226.56
729.48254,4537.52
730.4892,1676.57
733.39404,4823.62
733.53638,6707.17
734.39539,2202.86
734.5415,2182.98
750.29028,1393.69
753.33014,2505
753.82343,2657.84
755.47437,3898.17
755.97534,2238.1
759.41058,2604.98
760.32568,3881.11
762.33508,22318.7
762.836,13783
764.47864,2415.14
764.98151,4552.99
765.35132,9730.43
765.47961,2407.87
765.87134,2821.08
766.35309,6406.17
771.33887,9111.49
771.84021,4219.17
777.32581,11785.4
783.49677,1745.56
784.44208,3273.65
792.14288,1630.48
800.52228,17372.6
801.40826,1882.65
801.51904,25250.8
801.9093,2514.07
802.52032,19137.8
803.52771,20623
804.35815,2866.51
804.52728,21771.7
805.53009,6148.01
805.83636,2262.79
809.34998,4647.15
810.35522,2033.41
811.32983,3864.53
811.8291,2375.15
813.38312,3383.3
813.46661,1816.91
815.40735,5801.93
815.90979,1759.05
824.48169,1691.24
826.37439,1782.8
827.1814,1494.93
827.42578,10503
829.3811,2752.83
830.50043,1670.43
831.39368,20363.7
832.39752,6938.03
841.46021,9091.28
841.96063,14817.7
844.5672,1388.14
850.46649,1628.28
850.9679,3252
854.40778,2342.37
855.42059,15494.1
856.42133,2853.43
858.87762,1751.27
859.3783,14397.8
859.87518,2519.22
861.59143,3059.36
866.38092,1973.11
868.38336,9658.43
870.83197,1617.37
871.9494,2153.02
873.13153,2032.33
874.09991,1940.75
874.78021,6400.04
878.52356,1904.54
880.78674,1661.85
886.41656,1843.92
889.36975,1750.32
890.95337,4484.76
899.9566,1688.99
900.41241,10772.4
901.3681,6453.15
901.88159,3328.34
906.66656,2572.76
906.914,1656.92
907.43005,4491.98
908.36505,4148.07
911.16895,11596.9
911.41278,5802.59
912.44318,8590.7
913.44434,1864.12
913.60345,2647.01
914.60217,4614.58
915.42169,12054.9
915.60486,2380.05
915.67029,31156.6
915.91718,5561.71
916.61237,4755.04
917.60999,2452.23
920.17615,16771.2
929.46478,15592.8
929.96582,9371.18
939.54803,25461.2
940.16846,3767.52
941.47766,3015.72
945.09784,1817.21
948.42035,1691.88
950.77991,1711.06
951.11292,3598.94
951.43286,1553.19
953.40399,3441.32
957.64551,2058.87
958.646,41846.8
959.64984,18635.3
960.65234,5323.03
969.46429,14722.1
973.4574,2598.6
978.06842,1668.33
983.45032,4546.35
983.78137,1877.02
986.79797,1920.16
989.12268,5155.87
989.45288,10536.8
1001.46808,2595.91
1005.44806,4289.34
1006.44269,3184.11
1012.67126,1864.13
1013.67188,2857.33
1014.67383,3371.62
1015.67816,1934.2
1016.67664,2206.32
1029.46143,5340.9
1030.46204,3524.53
1031.46362,1662.85
1068.50806,15246.7
1069.0105,11575.7
1071.72937,3608.82
1086.4519,3849.52
1088.53247,1625.27
1102.49512,6286.93
1103.49683,8613.73
1104.5304,4589.99
1113.50049,3686.97
1114,4046.53
1120.49939,1817.82
1121.5061,4030.02
1129.27795,1591.83
1132.52075,3414.78
1142.47412,2053.41
1144.48657,9500.54
1145.48804,3075.83
1161.51257,1723.86
1162.18896,4630.11
1162.52197,6195.16
1163.49609,1915.77
1164.59973,2517.19
1167.84875,3303.84
1168.19031,3202.47
1168.52148,4884.73
1170.51453,2247.78
1247.5481,5577.54
1259.53992,1747.07
1260.54663,3480.14
1273.53052,2461.59
1278.5636,2151.54
1290.59631,2181.03
1344.56946,2348.84
1349.55334,2025.03
1361.58228,2278.07
1362.58215,23798.6
1363.5885,4154.11
1433.68127,2445.85
1525.64587,2369.3
1791.82239,1472.39
